name,apCost,description,category,extra,role,order
fireball,5,"You shape an orb of fire suspended in the air in front of you
and send it streaking in a straight line toward a target you can see. The fireball explodes on contact, dealing 6 damage to any creatures and objects it hits. You can shape the spell to avoid allies or creatures you do not want to harm.
<div class=""roll-list"">
20: The explosion hits all creatures near the point of impact for double damage.
<hr/>
11-19: The explosion hits up to 4 creatures near the point of impact.
<hr/>
6-10: Choose one: the explosion hits you and up to 4 creatures near impact, or the fireball fizzles into a cloud of smoke.
<hr/>
2-5: The fireball misses and hits random targets of the Guide's choice.
<hr/>
1: It explodes in your face, hitting you and up to 3 nearby creatures.
</div>
",elementalist,ROLL,NATURALIST,4
cloudcall ,1,"You swirl your hands in the air, producing a thick fog centered on you. The fog rolls out rapidly, spilling around corners and down slopes. Within a few seconds, you blanket everything nearby in fog. Creatures inside the fog cannot see beyond their reach, preventing them from making ranged attacks. The fog disperses after you leave the area, or if the area is hit by strong winds.",stormcaller,,NATURALIST,1
vortex  ,2,"You create a howling vortex within a body of liquid that you can see. The vortex lasts until you leave the area. Any creatures touching the vortex are violently sucked in, submerged, and then spit out, each taking 2 damage.",stormcaller,,NATURALIST,2
gale  ,3,"You close your eyes and stir the air, shaping the winds around you. A gale forms that you can spread across an area of any size and shape in your scene, as long as you can see its area of effect. Inside the area of effect, wind blows at ferocious speeds, kicking up dust and sending small objects flying. Creatures inside can't see far away, only what's nearby.
<br><br>
When you begin the spell, the gust knocks creatures to the ground and sends them tumbling backward until they leave the area of effect. Creatures outside of the gust cannot enter it unless they are larger than the area of effect.",stormcaller,,NATURALIST,3
riverfury  ,4,"You whisper a magical incantation to a flowing river within range. The river gathers a surge of strength upstream. A torrent of water arrives at your location in the path of the river 15 seconds later. All creatures caught in the torrent are swept downstream and deposited on shore far away, beyond where you can see.",stormcaller,,NATURALIST,4
stormcall,0,"<div> <div class=""ap"">2</div> You produce a circle of dark, electrically charged clouds somewhere you can see in the sky. The storm lasts until you leave the scene. While the storm is active, you may call upon it to produce these effects:</div>
<div> <div class=""ap"">1</div>You cause a downpour.</div>
<div> <div class=""ap"">1</div>A deafening crack of thunder shakes the ground. All creatures under the storm cannot hear anything beyond their reach until the end of the scene.</div>
<div> <div class=""ap"">3</div>If you have learned the Shock ability, you may use it for 3 AP.</div>
<div> <div class=""ap"">X</div>A bolt of chain lightning rips through NPCs you can see, hitting them each for 4 HP. Spend 1 AP per target.</div>",stormcaller,VARIABLE,NATURALIST,5
wild aspect,0,"<div> <div class=""ap"">1</div> <strong>eagle.</strong> You gain eagle-eye vision
for the next minute. You can see anything in your line of sight clearly, even if it is far away, and you can detect faraway movement that would be imperceptible to a normal person.</div>
<div> <div class=""ap"">2</div><strong>cat.</strong> You purr softly under your breath, imbuing up to 6 nearby creatures with the spirit of the cat.
For the next hour, affected creatures gain the ability to see things nearby
in complete darkness as if they were
in a dimly lit room. The effect cannot pierce magical darkness. Affected creatures may occasionally feel the urge to stop what they are doing and clean themselves.</div>
<div> <div class=""ap"">2</div><strong>wolf.<storng> You howl, imbuing up to 6 nearby creatures with haste. (Howl at the table.) For the next hour, creatures affected by the spell can outrun any other creatures while traveling by foot.</div>",spiritcaller,VARIABLE,NATURALIST,1
prey sense,1,"You sharpen your sense of danger for the next hour. You feel a subtle signal in your body whenever you will imminently be threatened by another creature. (The hair on your skin might raise, or you might feel a tingling in your bones.) This includes creatures that you can't see.
<br><br>
If you detect a creature this way, your party cannot be ambushed. (If you detect a creature trying to attack you, your party gets the first round in combat.)",spiritcaller,,NATURALIST,2
nature's watch,3,"You extend your senses for the next hour. Choose two effects each time you use this ability:
<br><br>
<strong>aurasight.</strong> Detect a faint outline around anything that is currently affected by a spell.
<strong>infrasight.</strong> Detect objects nearby whose relative heat makes them stand out, like creatures with warm bodies. This works through walls.
<strong>darksight.</strong> See in darkness nearby as if it were dimly lit.
<strong>mirrorsight.</strong> See around corners inside of enclosed spaces, like buildings. You must be within reach of the corner. (For example, you can see around the bend of a hallway.)
<strong>realsight.</strong> Detect whether something is an illusion. Illusions you detect with this spell appear to flicker.",spiritcaller,,NATURALIST,3
command nature,0,"<div> <div class=""ap"">0</div> You whisper a rhyming couplet to the living plants around you. You can write your own or borrow one from another author. Use one that plants might appreciate, like ""Hear my voice ring, and welcome the spring.""
<br><br>
Your brief poem entreats the plants to produce a harmless effect by moving or growing slightly. The things you want to manipulate must be within range. You may make trees rustle, cause leaves to fall, get plants to bloom, vines to expand, and seeds to sprout.</div>
<div> <div class=""ap"">1</div>If you can explain how, you can have the effect deal 2 HP of damage to a nearby target. For example, you might have vines grow thorns and lash a creature, or have a tree shake its acorns on their head violently.</div>",ecologist,,NATURALIST,1
memories of stone,3,"If you encounter a stone monument, like a mountain, canyon,
or statue, you may touch it to channel its ancient wisdom. You must tell
the stone a story about your family — perhaps a memory of a gathering, like a holiday. Give this story at the table.
<br><br>
The monument reciprocates your offering by sharing its wisdom.
<ul>
  <li>You sense whether this world is real and natural, or some kind of machination.</li>
<li> You sense whether there are any long-lost monuments beneath the surface, like hidden temples or ancient vaults.</li>
<li>You vaguely sense the most powerful lost artifact in this world and the region where it might be located.</li>
</u>",ecologist,,NATURALIST,2
shift season,4,"You manipulate the elements to change the current season everywhere within 1 kilometer of your location. You can choose any season for the world you inhabit, and the effect lasts for the next day. The spell takes a minute to cast; the effect emanates rapidly from your location. The weather inside the zone will be unpredictable, but typical of the season you choose. For example, if you turn a hot season to a cold one, you may bring snow.
<div class=""roll-list""> 20: You choose the season and may also choose the weather inside the area (excluding natural disasters like hurricanes). The effect lasts for one month.
<hr/>
11-19: You choose the season and the weather (excluding disasters).
<hr/>
6-10: You choose the season.
<hr/>
2-5: The Guide chooses the season, and a storm begins to affect the region that makes travel more difficult.
<hr/>
1: You accidentally cause a natural disaster to form. The Guide chooses the disaster.</div>",ecologist,ROLL,NATURALIST,3
nature's wrath,7,"You channel elemental fury. You create a storm centered on you with a radius of 1 kilometer. It lasts as long as you wish to channel it, but you take 1 HP of damage for each turn you spend maintaining the spell. You may choose the size of the storm eye, which is
safe inside. Choose the nature of the disaster each time you cast this spell:
<br><br>
<strong>lightning.</strong> Electricity streaks through the storm, arcing through conductive objects and lashing any NPCs caught in it. Each NPC caught in the storm is hit for 2 HP during each turn you cast the spell.
<br><br>
<strong>blizzard.</strong> Water condenses in the storm field, turning into apple-sized balls of hail. The air temperature in the storm field is freezing. NPCs in the storm field are hit for 1 HP during each turn you maintain the spell. Creatures cannot see beyond their reach in the howling whirl of ice.
<br><br>
<strong>hurricane.</strong> Sustained winds of terrifying force whip through the storm field. Weak buildings are completely destroyed, all windows are shattered, many roofs will cave in, and trees may be uprooted. Most unsecured objects are picked up by the storm and sent flying far away. Any NPCs caught in
the storm field are blown around, can't move, and are hit for 4 HP for each turn you cast the spell.",legendary ,,NATURALIST,1
wild evolution,0,"Your physical essence becomes permanently intertwined with that of
a chosen animal’s form. The animal can be no smaller than a mouse and no larger than an elephant. You may only choose this form once.
You may morph back and forth between your original form and your chosen form at will. When you change between forms, you maintain your current hit points.
You adopt the animal's natural capabilities while you are transformed. For example, if you transform into an eagle, you may fly. Your basic attacks in animal form hit for 3 damage.
You may now cast spells in animal form and speak telepathically to your allies.
You can still use the Animal Form and Shapeshift abilities (p. 58), and the rules for those abilities still function as usual.",legendary ,,NATURALIST,2
to dust,3,"You return a crafted object to nature, instantly reducing it to dust.
<br><br>
The object must be small enough to fit inside a 10x10-meter cube. The transformation is permanent and cannot be reversed.",legendary ,,NATURALIST,3
world wish,0,"You become the seed for a new world. Casting this spell consumes your life forever; you can never be brought back.
<br><br>
Your entire knowledge of nature manifests in the spell. When you cast it, your body dissipates in radiant light, becoming a cascading wave of energy that transforms the planet you are on. The wave of energy first alters the atmosphere, making it capable
of supporting life if it is not already suitable.
<br><br>
Then, a blooming cascade of living flora emanates from your location, rapidly growing and overtaking the planet’s surface. The bloom radiates outward from your location until the entire planet is transformed. The spell forms oceans and rivers if they do not already exist.
If you choose at the time of casting, the spell disintegrates any constructed objects, like buildings or infrastructure, returning the land to nature. Any objects that are destroyed in this
way are done so gracefully, such that existing living things, like people and animals, are lowered to the ground unharmed.
<br><br>
This is a permanent transformation that cannot be stopped, interrupted, or reversed by countermagic.",legendary ,,NATURALIST,4
mend  ,1,"You gently touch a creature, immediately restoring 5 HP and mending minor wounds like cuts and bruises. The spell does not remove impairments, heal permanent wounds, or cure disease. You cannot use this spell during combat.",healing,,DOCTOR,1
relieve  ,1,"You say something comforting to a nearby creature, alleviating them of anxiety, pain, and discomfort for one hour. In this state, the creature cannot be affected by fear or confusion. For
a brief time, they feel better than they have ever felt before.",healing,,DOCTOR,2
heal  ,2,"You embrace a creature with
a caring touch, restoring all of their
hit points. After a short time, the creature is relieved of any short-term impairments. The spell does not remove permanent conditions. If you are using Heal on another member
of the party, they may contribute any amount of their own AP to help pay for the spell.",healing,,DOCTOR,3
restore,7,"You touch a living creature, completely restoring them to their normal state over the next few minutes. (You cannot cast this spell while in combat.) The spell restores all hit points and removes any harm or damage. If you are using Restore on another member of the party, they may contribute any amount of their own AP to help pay for the spell.",healing,,DOCTOR,4
sleep  ,2,"<div> <div class=""ap"">2</div> You whisper a brief lullaby, putting any number of nearby commoners to sleep for up to one hour. You can write your own lullaby or borrow one from another author. Read it at the table.
Creatures affected by the spell collapse and enter a dreamful state, but wake up immediately if they are harmed.</div>
<div> <div class=""ap"">X</div>You can intensify the spell to affect nearby minions. Add 1 AP for each minion you wish to put to sleep.</div>",alteration,VARIABLE,DOCTOR,1
calcify  ,1,"You touch a creature within range, causing its surface to swell and harden. During this time, they feel numb to external pain. Their hardened shell absorbs up to 2 HP from physical hits. Any damage dealt in excess of 2 HP hits the creature normally. The creature's skin returns to normal after 1 minute.",alteration,,DOCTOR,2
feign death  ,3,"You place up to six nearby creatures in suspended animation
for up to an hour. (You may only cast the spell on yourself or willing allies.) Creatures in this state cannot see, feel, speak, or move, but they remain semiconscious and can hear what is happening around them.
<br><br>
Affected creatures become cold to the touch, and their pulse is undetectable, appearing to be dead to onlookers. Only magic can reveal the ruse. Affected creatures wake immediately if they are harmed and may choose to wake at any time.",alteration,,DOCTOR,3
reshape  ,4,"You touch a creature, reshaping their facial appearance. You can make them look older, younger, or like a completely different person. If you
are making them look like a specific person, you must be able to see a reference of their face while you are casting the spell.
The transformation is permanent and can only be reversed with the Restore spell or by casting Reshape again.",alteration,,DOCTOR,4
lifelink,4,"You entwine the life-force of two nearby creatures. Choose one effect each time you use this ability:
<br><br>
<strong>two-way link:<strong> When either of the linked creatures is dealt damage, the damage is also dealt to the other creature. This does not include damage that hits the creatures simultaneously (like an area- of-effect spell).
<br><br>
<strong>one-way link:</strong> Choose one of the linked creatures. Any time damage is dealt
to this creature, it is also dealt to the other.
<br><br>
<strong>leyline:</strong> When either of the linked creatures is healed, the other creature receives the same amount of healing.",alteration,,DOCTOR,5
deathsense ,0,"<div> <div class=""ap"">0</div> You naturally sense whether any remnants of the dead (spirit creatures) are nearby, but not their positions. The Guide will notify you when this sense is triggered.</div>
<div> <div class=""ap"">1</div>You sense whether any sentient creatures have died nearby and how long ago they died. You can sense the location where any creatures died,
as well as the general nature of their death; you sense if they were killed by natural causes, an accident, or foul play.</div>
<div> <div class=""ap"">1</div>You extend your vision, allowing you to see spirit creatures who are invisible. This effect lasts until you leave the area.</div>",necromancy,VARIABLE,DOCTOR,1
commune with the dead ,1,"If you are aware of one or more spectral creatures nearby (like ghosts), you may communicate with them. You do not need to be able to see a spirit as long as you have sensed its presence, like with the Deathsense spell.
You may have a conversation with
the spirits for up to a minute, and you communicate with them telepathically. You must share a language to understand each other. Spirits must want to respond; if they choose not to speak to you, your adventure point is refunded.",necromancy,,DOCTOR,2
reanimate,1,"You animate a nearby corpse or skeleton, making it your thrall. It can move around, but it cannot leave your scene. The spell ends when you leave the scene.
You control the creature telepathically. It is not conscious, and it only follows your commands. The creature has 3 HP and can attack for 1 HP.",necromancy,,DOCTOR,3
reinstate the dead,0,"You touch a living creature and make it the host for a nearby spirit. Choose one:
<div> <div class=""ap"">5</div><strong>dark passenger.</strong> You merge the creatures. The spirit creature becomes a permanent passenger in the living host's mind. The passenger can't control the body, but it can experience its senses and talk to the host telepathically.</div>
<div> 
<div class=""ap"">1</div><strong>steal host.</strong> The host creature's consciousness fades away. The spirit inhabits and takes full control of the host's body. Fragments of the host creature's memory remain and will occasionally arise in thought. (This can only be used on bosses if they have less than 20 percent of their total HP remaining.)
</div>
",necromancy,VARIABLE,DOCTOR,4
corrupt,0,"You grip an organic creature within reach and create a necrotizing wound. The wound turns flesh black- green and branches out from where you touched them. The spell hits for
1 HP immediately, and again at the beginning of the target's next turn. (A total of 2 damage.) Affected creatures can only recover these hit points with the Restore spell (p. 67).",harm,,DOCTOR,1
nox,1,"You touch a creature, giving them a combination of effects for the next hour. You may choose up to three effects from this list:
<br><br>
Wakefulness, alertness, increased confidence, euphoria, laughter, vivid sensations, relaxedness, sweating, nausea, chills, or irritability.",harm,,DOCTOR,2
afflict,3,"You touch a creature, cursing them with an affliction that lasts up to 1 month. Choose a symptom each time you use this ability:
<br><br>
<strong>the sillies.</strong> The creature acts completely out-of-character in a silly and carefree way. This may change their goals.
<br><br>
<strong>clumsy.</strong> The creature's extremities feel awkward to use. They are unable to wield weapons effectively and they drop things constantly.
<br><br>
<strong>blighted.</strong> The creature can't recover HP.
<br><br>
If you roll a failure, the affliction becomes contagious, rapidly spreading to any creature that touches your target. On a catastrophe, you also become afflicted.",harm,ROLL,DOCTOR,3
wither,4,"You touch a creature and cause their body to wither. Their lifespan does not change, but they experience some of the effects of advanced age. They begin to feel as if death is approaching on the horizon — a condition that may change the creature's behavior and goals.",harm,,DOCTOR,4
heartkill,6,"You touch a commoner or minion and curse their heart. (This spell only works on creatures with a heart.) You may choose to instantly cause their heart to explode, killing them. Or you may turn their heart into a time bomb that explodes after a delay of up to 1 year.
<br><br>
If you use this spell on a boss, it acts like a tripwire. If the boss is reduced to 20 percent or less of its maximum hit points while cursed, its heart explodes and it dies instantly.",harm,,DOCTOR,5
modulate  ,1,"You alter the nature and intensity of a nearby creature's physical sensations for up to 1 hour. Choose one effect each time you use this spell:
<br><br>
<strong>temperature.</strong> The creature feels a relaxing sensation of inner warmth or a cool external breeze. Or you can make them feel too hot or too cold.
<br><br>
<strong>nourishment.</strong> The creature either sees food and drink as revolting, feels an insatiable hunger and thirst, or feels perfectly fed and hydrated.
<br><br>
<strong>comfort.<strong> The creature either feels relaxed wherever they sit or lay, or they cannot find comfort however they arrange their body.",perception,,DOCTOR,1
shape senses ,0,"<div>
  <div class=""ap"">1</div>
   You touch a creature and manipulate their perception of color. For instance, you may make a target creature see green as purple. Or you may combine multiple colors, perhaps making the target see yellow and green as blue. You can also cause the target to see oversaturated colors, undersaturated colors, or give them monochromatic vision. You can choose any number of changes and combinations as long as they do not overlap.
</div>
<div>
  <div class=""ap"">2</div>
   You touch a commoner or minion, transporting one of their senses to a random part of the omniverse for the next day. You may choose to transport a single sense: feeling, sight, hearing, smell, or taste. The creature will experience its new surroundings as if they were actually there.
</div>",perception,VARIABLE,DOCTOR,2
 false sense ,3,"You touch a creature, causing it to perceive a specific thing or a category of things falsely. For example, you might have them see the town mayor as a clown or all wolves as puppies. Or you might have them think that freshly baked bread smells like fire. The spell lasts until you cancel it or until the creature is harmed by the effects of the deception.",perception,,DOCTOR,3
 forget,0,"<div>
  <div class=""ap"">4</div>
  You touch a creature, erasing its memory by up to 1 month in the past from the present day. This ability only works on sleeping creatures.
</div>
<div>
  <div class=""ap"">X</div>
  You touch a creature, erasing its memory by up to 1 month in the past from the present day. This ability only works on sleeping creatures.
x You may extend the memory loss by spending additional AP on the spell. Each AP you spend increases the effect by up to 1 additional year.
</div>
",perception,VARIABLE,DOCTOR,4
examine the dead ,1,"You evaluate a corpse within reach. The corpse must be intact enough for you to look at it. (It cannot be completely obliterated.) After a minute of inspection, you are able to determine the creature’s exact cause of death. You are also able to determine the time and date of its death.",examination,,DOCTOR,1
diagnose ,0,"ou touch a creature, extending your senses to diagnose a mysterious affliction, like a disease, spell, or curse. You must correctly guess the entire name of the affliction. If your guess
is wrong, the spell fails and you must spend 1 AP to try again.
<br><br>
The Guide will give you blanks to fill in that show how many words are in the name and how many letters are in each word. You may start by guessing letters that appear in the name. If you guess
a letter correctly, the Guide will reveal everywhere that letter appears in the name. If you guess incorrectly 6 times, the spell fails.
<br>
<div class=""roll-list""> 
20: The Guide fills in half of the letters in the name.
<hr/>
11-19: The Guide fills in one vowel and two consonants.
<hr/>
1-10: The Guide fills in one consonant.
Once you have diagnosed an affliction, you can automatically identify it in the future by touching a creature.
</div>",examination,ROLL,DOCTOR,2
curious case,3,"If your scene contains something overtly suspicious, like a dead body or blood on the walls, you may investigate by considering things that seem familiar to you. You must pontificate about your past experience at the table to explain what is familiar to you.
<br><br>
Choose three details you already know about your scene. If you need more detail, ask the Guide what you sense.
<br><br>
You can then begin your short speech by saying something like, ""This reminds me of the curious case of _________________________."" Explain where you have seen the details in your scene before.
<br><br>
When you are finished, the Guide will reveal a useful clue about your scene to you. The Guide will choose one of these clues:
<ul>
  <li>The motive of the perpetrator who was involved in the scene.</li>
  <li>The nearby location of a hidden message, symbol, or other detail that reveals the name or affiliation of someone who was involved in the scene.</li>
  <li>Where someone who was involved in the scene might be headed next.</li>
</ul>",examination,,DOCTOR,3
genesis command,6,"You touch a creature, reversing or accelerating its development to a stage of life of your choosing. (This can only be used on bosses if they have less than 20 percent of their total HP remaining.) For example, you may revert an adult creature into a child, giving it the opportunity to grow old again.
<br><br>
The creature retains all of its memories, unless you revert it to infancy. The creature obtains the basic physical capabilities appropriate for its state of development.",legendary,,DOCTOR,1
banish,0,"<div>
  <div class=""ap"">1</div>
 You banish a nearby spirit creature to a random shadow plane
for the next hour. You do not know its destination. When its imprisonment is up, it reappears at its previous location.
</div>
<div>
  <div class=""ap"">5</div>
 You permanently banish a nearby spirit creature to a random shadow
plane. (This can only be used on bosses if they have less than 20 percent of their total HP remaining.)
</div>
",legendary,VARIABLE,DOCTOR,2
eternal slumber,4,"You touch a creature within reach, placing them in a permanent and peaceful sleep.
<br><br>
You may choose to tie the spell to a trigger that can cause it to end; for example, cursing them to sleep until they are embraced by a family member, or tying it to an object that must be destroyed to end the spell.
<br><br>
You can end the spell at any time you choose. You can only maintain this spell on one creature at a time; if you cast it again, the previous spell ends, freeing the creature from stasis.
<br><br>
(This can only be used on bosses if they have less than 20 percent of their total HP remaining.)",legendary,,DOCTOR,3
the bitter gift,9,"You touch a creature without self- awareness and bestow them with the bitter gift of selfhood. You must recite a statement at the table about what it means to be alive. It can be a passage from a book, a poem, or something else that expresses ideas about the meaning of life.
<br><br>
The target of the spell falls unconscious for the next minute as their body rapidly experiences 1 million years of evolution toward self-awareness. The evolutionary process alters the animal's physical features and capabilities in ways you may not expect.
<br><br>
The new creature is thrown into
the world with competency in one language, a sense of self-identity, and a vague awareness of its past life, including a few specific memories of significant moments. Another way of putting it: they are now a person like you.
<br><br>
The creature knows you gave it life.",legendary,,DOCTOR,4
cosmopolitan,0,"You are an expert in the study of cosmopolitan cultures, particularly in cities and nations. If you are falsely presenting as a citizen or official of a city or nation and your authenticity
is challenged, you may use a local mannerism to fool common people.
<br><br>
You must come up with the mannerism and describe it to the table. It can be
a gesture, like a special handshake,
a common saying, or some other idiosyncrasy from the people you are pretending to belong to.",charisma,,SPY,1
silver tongue,1,"
<div>
  <div class=""ap"">1</div>
 If you are caught doing something prohibited or mischevious, you can use clever thinking to evade suspicion.
<br><br>
You must appeal to something that your adversaries find agreeable. The Guide will choose one of these as the right answer, and secretly write it down:
<br><br>
<strong>orders.</strong> Someone with authority commanded you to do it.
<strong>ignorance.</strong> You didn't know better. It was a genuine mixup!
<strong>graft.</strong> You offer something of value from your inventory to make this go away.
<br><br>
You must guess the right approach, and describe how you make the appeal.
</div>
<div>
  <div class=""ap"">1</div>
 For 1 extra AP, the Guide eliminates one of the incorrect choices.
After you give your story, the Guide will reveal the choice they wrote. If you guess correctly, your adversaries will leave you alone.
</div>",charisma,VARIABLE,SPY,2
don't you know who i am?,1,"You impress common folk and minions by pretending to be someone notable.
<br><br>
You initiate the ruse by giving a special wink to a party member. Then, each of your nearby party members must proclaim an incredible fact that creates your identity. For example, a party member might begin by calling attention to you as a fabled writer, a storied warrior, or a sports hero. The other members of the party should build on this fake identity until everyone has contributed. Each claim should be more fantastical than the previous one.
<br><br>
When everyone is finished, you draw a captive audience of nearby creatures who crowd around you.",charisma,,SPY,3
sneak attack ,0,"Once per round, when a nearby foe attacks a creature other than you, you may exploit their focus. You may immediately move behind them to perform one of the following actions:
<div>
  <div class=""ap"">1</div>
   You make a basic attack on them.
</div> 
<div>
  <div class=""ap"">1</div>
   You incapacitate a commoner or minion by touching one of their pressure points. They fall to the ground unconscious for the next 10 minutes, or until they are harmed.
</div> 
<div>
  <div class=""ap""> 3 </div>
  You kill a commoner or minion instantly. Describe how you take them out.
</div> ",termination,VARIABLE,SPY,1
poison  ,0,"You combine basic goods from any well-stocked general store to create poison. You create enough poison for one use. You can apply it to weapons, put it in drinks or meals, or serve it to a creature directly. Regardless of delivery method, each use of the poison can only affect one creature. Choose any combination of effects:
<div>
  <div class=""ap"">1</div>
   <strong>blue.</strong> The victim falls asleep for 1 hour.
</div> 
<div>
  <div class=""ap"">2</div>
  <strong>white.</strong> The victim writhes in extreme pain for 1 hour and is unable to speak.
</div> 
<div>
  <div class=""ap""> 3 </div>
  <strong>purple.</strong> The victim collapses and is paralyzed for the next day.
</div> 
<div>
  <div class=""ap""> 4 </div>
   <strong>black.</strong> Commoners and minions are instantly killed. Bosses are hit for 10 HP.
</div> 
<div>
  <div class=""ap""> 6 </div>
   <strong>clear.</strong> The victim experiences no symptoms and dies 1 week later. (This does not work on bosses.)
</div> ",termination,VARIABLE,SPY,2
death hand ,3,"magic item. A single-shot hand cannon
that uses a silent magic charge to propel a slug. The Death Hand can sense your target and guide your hand to make a perfect shot on any target you can see in your scene, including those that are far away. The shot hits for 6 HP. It instantly kills commoners and minions.
<div>
  <div class=""ap"">3</div>
   <strong>black.</strong> You must spend 3 AP and one turn each time you recharge the weapon.
</div> ",termination,,SPY,3
bounty,5,"You place a bounty on a commoner or minion's head for their capture or death. You must offer an item of value as a reward in addition to the AP cost of this ability that is at least rare in quality. Bounty hunters will compete for the prize.
<br><br>
If for capture, you may specify where they are to be taken. If you mark them for death, you may require any manner of proof that the deed was done.
<br><br>
<div class=""roll-list"">
20: The deed will be done by the end of your play session.
<hr/>
11-19: The deed will be done by the end of your next play session.
<hr/>
1-10: The target learns of the bounty and places one on your head. You are not sure who bounty hunters will reach first.
<div>",termination,ROLL,SPY,4
